JOB ID          REPLACED PAGE   PLACED PAGE     FRAME           STATUS          
15              33              23              33              NR:NM           
14              15              5               4               NR:NM           
13              1               4               125             NR:NM           
18              35              39              10              NR:NM           
14              17              10              21              NR:NM           
13              5               32              39              NR:NM           
19              4               11              123             NR:NM           
13              15              31              42              NR:NM           
14              18              12              1               NR:NM           
20              24              23              8               NR:NM           
14              10              18              21              NR:NM           
13              20              7               20              NR:NM           
14              12              9               1               NR:NM           
18              70              57              120             NR:NM           
13              27              12              82              NR:NM           
7               59              76              79              NR:NM           
14              18              10              21              NR:NM           
13              31              6               42              NR:NM           
14              9               12              1               NR:NM           
13              12              42              82              NR:NM           
14              10              16              21              NR:NM           
13              6               18              42              NR:NM           
15              38              41              43              NR:NM           
14              12              14              1               NR:NM           
13              32              9               39              NR:NM           
18              39              73              10              NR:NM           
13              18              40              42              NR:NM           
14              16              7               21              NR:NM           
14              0               16              69              NR:M            
16              47              35              124             NR:NM           
19              15              27              38              NR:NM           
20              11              0               70              NR:M            
14              7               4               21              NR:NM           
13              9               12              39              NR:NM           
14              5               17              4               NR:M            
7               56              25              104             NR:NM           
16              50              32              84              NR:NM           
20              14              43              75              NR:M            
15              23              7               33              NR:NM           
18              57              26              120             NR:NM           
16              35              5               124             NR:NM           
14              14              0               1               NR:M            
14              16              14              69              NR:NM           
20              0               33              70              NR:NM           
15              41              44              43              NR:NM           
13              35              16              2               NR:NM           
16              32              33              84              NR:NM           
19              11              24              123             NR:NM           
18              71              97              17              NR:NM           
7               97              18              85              NR:NM           
20              43              30              75              NR:NM           
16              5               50              124             NR:NM           
19              27              7               38              NR:NM           
14              0               8               1               NR:NM           
15              7               17              33              NR:NM           
18              26              25              120             NR:NM           
13              36              0               78              NR:NM           
16              51              35              74              NR:NM           
7               25              15              104             NR:NM           
14              14              16              69              NR:NM           
20              33              11              70              NR:NM           
13              12              10              39              NR:NM           
16              50              42              124             NR:NM           
7               18              53              85              NR:NM           
18              73              38              10              NR:NM           
16              35              9               74              NR:NM           
14              8               14              1               NR:NM           
20              30              12              75              NR:NM           
15              44              35              43              NR:NM           
18              25              11              120             NR:NM           
13              0               43              78              NR:NM           
19              24              21              123             NR:NM           
14              17              11              4               NR:NM           
7               15              96              104             NR:NM           
16              42              64              124             NR:NM           
20              11              44              70              NR:NM           
18              38              93              10              NR:NM           
16              9               16              74              NR:NM           
19              7               26              38              NR:NM           
14              14              7               1               NR:NM           
